mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
1,850,25,rmse,standard,71.68512241689584,5,0.7360830513459546,pre0_mod032_post0,Zero_Flow_Days_sum,National
1,850,25,rsq,standard,0.543536209670742,5,0.018816503514605544,pre0_mod032_post0,Zero_Flow_Days_sum,National
1,1050,3,mae,standard,48.83912965959957,5,0.27207552623218684,pre0_mod033_post0,Zero_Flow_Days_sum,National
1,1050,3,rmse,standard,68.02862424379406,5,0.6730382811790929,pre0_mod033_post0,Zero_Flow_Days_sum,National
1,1050,3,rsq,standard,0.5790157171670679,5,0.0172770184982776,pre0_mod033_post0,Zero_Flow_Days_sum,National
1,1050,6,mae,standard,49.54971675389052,5,0.34271218846641915,pre0_mod034_post0,Zero_Flow_Days_sum,National
1,1050,6,rmse,standard,68.5868671490432,5,0.7553938211447864,pre0_mod034_post0,Zero_Flow_Days_sum,National
1,1050,6,rsq,standard,0.5740667337384462,5,0.01851091740780338,pre0_mod034_post0,Zero_Flow_Days_sum,National
1,1050,9,mae,standard,50.17096237239016,5,0.31366146803466044,pre0_mod035_post0,Zero_Flow_Days_sum,National
1,1050,9,rmse,standard,69.13238509392806,5,0.7267862477339729,pre0_mod035_post0,Zero_Flow_Days_sum,National
1,1050,9,rsq,standard,0.5687238739173892,5,0.018309231182207616,pre0_mod035_post0,Zero_Flow_Days_sum,National
1,1050,12,mae,standard,50.79916255704302,5,0.3310786995371377,pre0_mod036_post0,Zero_Flow_Days_sum,National
1,1050,12,rmse,standard,69.63187609191426,5,0.7171109856190887,pre0_mod036_post0,Zero_Flow_Days_sum,National
1,1050,12,rsq,standard,0.5641356944410199,5,0.018100052983967704,pre0_mod036_post0,Zero_Flow_Days_sum,National
1,1050,15,mae,standard,51.398582874362496,5,0.29638715040013175,pre0_mod037_post0,Zero_Flow_Days_sum,National
1,1050,15,rmse,standard,70.20916682052108,5,0.7326370769521794,pre0_mod037_post0,Zero_Flow_Days_sum,National
1,1050,15,rsq,standard,0.5584648034731915,5,0.01819715467545898,pre0_mod037_post0,Zero_Flow_Days_sum,National
1,1050,18,mae,standard,51.91645568827665,5,0.28320070609668685,pre0_mod038_post0,Zero_Flow_Days_sum,National
1,1050,18,rmse,standard,70.65955599801738,5,0.6962750623264662,pre0_mod038_post0,Zero_Flow_Days_sum,National
1,1050,18,rsq,standard,0.5538469582726036,5,0.018736445339506486,pre0_mod038_post0,Zero_Flow_Days_sum,National
1,1050,21,mae,standard,52.44345542117963,5,0.32524777353614265,pre0_mod039_post0,Zero_Flow_Days_sum,National
1,1050,21,rmse,standard,71.13268519963079,5,0.7735925477315081,pre0_mod039_post0,Zero_Flow_Days_sum,National
1,1050,21,rsq,standard,0.5493724508709057,5,0.01877579037977981,pre0_mod039_post0,Zero_Flow_Days_sum,National
1,1050,25,mae,standard,52.97368849093689,5,0.31154020607642635,pre0_mod040_post0,Zero_Flow_Days_sum,National
1,1050,25,rmse,standard,71.6009242178916,5,0.747696838028403,pre0_mod040_post0,Zero_Flow_Days_sum,National
1,1050,25,rsq,standard,0.5441304294548017,5,0.018676094282168158,pre0_mod040_post0,Zero_Flow_Days_sum,National
1,1250,3,mae,standard,48.78158978165114,5,0.29763832663411954,pre0_mod041_post0,Zero_Flow_Days_sum,National
1,1250,3,rmse,standard,67.96084772881045,5,0.678548918831,pre0_mod041_post0,Zero_Flow_Days_sum,National
1,1250,3,rsq,standard,0.5802103065612737,5,0.017655981110686253,pre0_mod041_post0,Zero_Flow_Days_sum,National
1,1250,6,mae,standard,49.47214637619931,5,0.32676806594648494,pre0_mod042_post0,Zero_Flow_Days_sum,National
1,1250,6,rmse,standard,68.45208628852038,5,0.730085025249732,pre0_mod042_post0,Zero_Flow_Days_sum,National
1,1250,6,rsq,standard,0.5761055355533518,5,0.017777252955191416,pre0_mod042_post0,Zero_Flow_Days_sum,National
1,1250,9,mae,standard,50.116955957285036,5,0.30552264171314925,pre0_mod043_post0,Zero_Flow_Days_sum,National
1,1250,9,rmse,standard,69.05761008432755,5,0.7191660142811325,pre0_mod043_post0,Zero_Flow_Days_sum,National
1,1250,9,rsq,standard,0.5700373021647777,5,0.01818932870262107,pre0_mod043_post0,Zero_Flow_Days_sum,National
1,1250,12,mae,standard,50.77309520989329,5,0.3353154285297356,pre0_mod044_post0,Zero_Flow_Days_sum,National
1,1250,12,rmse,standard,69.62090670551585,5,0.7425600261807234,pre0_mod044_post0,Zero_Flow_Days_sum,National
1,1250,12,rsq,standard,0.5647361246242478,5,0.01795526633829649,pre0_mod044_post0,Zero_Flow_Days_sum,National
1,1250,15,mae,standard,51.33557232502481,5,0.2942033560905947,pre0_mod045_post0,Zero_Flow_Days_sum,National
1,1250,15,rmse,standard,70.12700834574778,5,0.7131116144888173,pre0_mod045_post0,Zero_Flow_Days_sum,National
1,1250,15,rsq,standard,0.5595322349946127,5,0.018019812605543417,pre0_mod045_post0,Zero_Flow_Days_sum,National
1,1250,18,mae,standard,51.867230535758296,5,0.3001081814374868,pre0_mod046_post0,Zero_Flow_Days_sum,National
1,1250,18,rmse,standard,70.62296881986836,5,0.7372837468199114,pre0_mod046_post0,Zero_Flow_Days_sum,National
1,1250,18,rsq,standard,0.5543884034373304,5,0.01846382566303161,pre0_mod046_post0,Zero_Flow_Days_sum,National
1,1250,21,mae,standard,52.37119495319214,5,0.30364913920423114,pre0_mod047_post0,Zero_Flow_Days_sum,National
1,1250,21,rmse,standard,71.06091958438662,5,0.7211391145265152,pre0_mod047_post0,Zero_Flow_Days_sum,National
1,1250,21,rsq,standard,0.5496926486796634,5,0.01794318998038891,pre0_mod047_post0,Zero_Flow_Days_sum,National
1,1250,25,mae,standard,53.02135485847589,5,0.30774165059624503,pre0_mod048_post0,Zero_Flow_Days_sum,National
1,1250,25,rmse,standard,71.68605408092205,5,0.7362641699475844,pre0_mod048_post0,Zero_Flow_Days_sum,National
1,1250,25,rsq,standard,0.5429237723562798,5,0.01856342580079517,pre0_mod048_post0,Zero_Flow_Days_sum,National
1,1450,3,mae,standard,48.83452362325374,5,0.28618253477607125,pre0_mod049_post0,Zero_Flow_Days_sum,National
1,1450,3,rmse,standard,68.03495946183865,5,0.68557959317752,pre0_mod049_post0,Zero_Flow_Days_sum,National
1,1450,3,rsq,standard,0.5788300564490999,5,0.017431769158389888,pre0_mod049_post0,Zero_Flow_Days_sum,National
