mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
1,850,18,mae,standard,0.11777067023859843,5,0.004599221182748619,pre0_mod030_post0,tau_Zero_Flow_Days_sum
1,850,18,rmse,standard,0.155921698110265,5,0.006159492523446729,pre0_mod030_post0,tau_Zero_Flow_Days_sum
1,850,18,rsq,standard,0.14251155125051743,5,0.053084441385271526,pre0_mod030_post0,tau_Zero_Flow_Days_sum
1,850,21,mae,standard,0.11817678858084886,5,0.004307658293711693,pre0_mod031_post0,tau_Zero_Flow_Days_sum
1,850,21,rmse,standard,0.15600557452309805,5,0.005854042397184697,pre0_mod031_post0,tau_Zero_Flow_Days_sum
1,850,21,rsq,standard,0.14168839959967175,5,0.052554388179799696,pre0_mod031_post0,tau_Zero_Flow_Days_sum
1,850,25,mae,standard,0.11819512824889605,5,0.004757833324771301,pre0_mod032_post0,tau_Zero_Flow_Days_sum
1,850,25,rmse,standard,0.15619664786976015,5,0.006290842796364394,pre0_mod032_post0,tau_Zero_Flow_Days_sum
1,850,25,rsq,standard,0.1416335595046639,5,0.05346843382242277,pre0_mod032_post0,tau_Zero_Flow_Days_sum
1,1050,3,mae,standard,0.11598064127687616,5,0.004694033996718334,pre0_mod033_post0,tau_Zero_Flow_Days_sum
1,1050,3,rmse,standard,0.15495704403377678,5,0.00582761754004051,pre0_mod033_post0,tau_Zero_Flow_Days_sum
1,1050,3,rsq,standard,0.14475304855133206,5,0.04692371800348105,pre0_mod033_post0,tau_Zero_Flow_Days_sum
1,1050,6,mae,standard,0.1169224504768167,5,0.004669439847589184,pre0_mod034_post0,tau_Zero_Flow_Days_sum
1,1050,6,rmse,standard,0.15562243481848595,5,0.005851360351151441,pre0_mod034_post0,tau_Zero_Flow_Days_sum
1,1050,6,rsq,standard,0.14121903946488107,5,0.05149924675380966,pre0_mod034_post0,tau_Zero_Flow_Days_sum
1,1050,9,mae,standard,0.11682309118921513,5,0.004847033216515819,pre0_mod035_post0,tau_Zero_Flow_Days_sum
1,1050,9,rmse,standard,0.15579013558415478,5,0.005957574833624566,pre0_mod035_post0,tau_Zero_Flow_Days_sum
1,1050,9,rsq,standard,0.1399452635335478,5,0.05232228485370533,pre0_mod035_post0,tau_Zero_Flow_Days_sum
1,1050,12,mae,standard,0.11723781429188919,5,0.004857054283708242,pre0_mod036_post0,tau_Zero_Flow_Days_sum
1,1050,12,rmse,standard,0.15569146817617727,5,0.006207101184563861,pre0_mod036_post0,tau_Zero_Flow_Days_sum
1,1050,12,rsq,standard,0.1432318020263883,5,0.05171663793685801,pre0_mod036_post0,tau_Zero_Flow_Days_sum
1,1050,15,mae,standard,0.11713280075344924,5,0.004725864855542503,pre0_mod037_post0,tau_Zero_Flow_Days_sum
1,1050,15,rmse,standard,0.15546861420946523,5,0.00613095811396248,pre0_mod037_post0,tau_Zero_Flow_Days_sum
1,1050,15,rsq,standard,0.14558878988184737,5,0.053774811602134355,pre0_mod037_post0,tau_Zero_Flow_Days_sum
1,1050,18,mae,standard,0.11803642196743717,5,0.004741322930093494,pre0_mod038_post0,tau_Zero_Flow_Days_sum
1,1050,18,rmse,standard,0.156123349320682,5,0.006153065858165237,pre0_mod038_post0,tau_Zero_Flow_Days_sum
1,1050,18,rsq,standard,0.14071361386835915,5,0.054406304638727095,pre0_mod038_post0,tau_Zero_Flow_Days_sum
1,1050,21,mae,standard,0.11791868822587984,5,0.00478330000047108,pre0_mod039_post0,tau_Zero_Flow_Days_sum
1,1050,21,rmse,standard,0.15602999756950303,5,0.0064033433232095075,pre0_mod039_post0,tau_Zero_Flow_Days_sum
1,1050,21,rsq,standard,0.145573743638578,5,0.056611146497406444,pre0_mod039_post0,tau_Zero_Flow_Days_sum
1,1050,25,mae,standard,0.11855549513436833,5,0.004722978129925336,pre0_mod040_post0,tau_Zero_Flow_Days_sum
1,1050,25,rmse,standard,0.15670347614546937,5,0.006230863921385073,pre0_mod040_post0,tau_Zero_Flow_Days_sum
1,1050,25,rsq,standard,0.1368235709055693,5,0.05396438915024881,pre0_mod040_post0,tau_Zero_Flow_Days_sum
1,1250,3,mae,standard,0.11710319150920137,5,0.00454543972860915,pre0_mod041_post0,tau_Zero_Flow_Days_sum
1,1250,3,rmse,standard,0.1557998523215375,5,0.005579029450909799,pre0_mod041_post0,tau_Zero_Flow_Days_sum
1,1250,3,rsq,standard,0.13535486334113442,5,0.04873311520086463,pre0_mod041_post0,tau_Zero_Flow_Days_sum
1,1250,6,mae,standard,0.1168636601956538,5,0.004623362876099162,pre0_mod042_post0,tau_Zero_Flow_Days_sum
1,1250,6,rmse,standard,0.15575417702821961,5,0.006099613691212205,pre0_mod042_post0,tau_Zero_Flow_Days_sum
1,1250,6,rsq,standard,0.1400028491603418,5,0.050435397050059935,pre0_mod042_post0,tau_Zero_Flow_Days_sum
1,1250,9,mae,standard,0.11689720122196962,5,0.004484884192171033,pre0_mod043_post0,tau_Zero_Flow_Days_sum
1,1250,9,rmse,standard,0.15559557662756257,5,0.005856218391285689,pre0_mod043_post0,tau_Zero_Flow_Days_sum
1,1250,9,rsq,standard,0.14087930873159044,5,0.049734330680795164,pre0_mod043_post0,tau_Zero_Flow_Days_sum
1,1250,12,mae,standard,0.11701578764652563,5,0.00480385621197193,pre0_mod044_post0,tau_Zero_Flow_Days_sum
1,1250,12,rmse,standard,0.15532014274305084,5,0.006287740427623825,pre0_mod044_post0,tau_Zero_Flow_Days_sum
1,1250,12,rsq,standard,0.14830748165720287,5,0.05541270142046244,pre0_mod044_post0,tau_Zero_Flow_Days_sum
1,1250,15,mae,standard,0.11724072518751158,5,0.00460937886148912,pre0_mod045_post0,tau_Zero_Flow_Days_sum
1,1250,15,rmse,standard,0.15547504570259998,5,0.006128663061011615,pre0_mod045_post0,tau_Zero_Flow_Days_sum
1,1250,15,rsq,standard,0.1451270229884928,5,0.05084928014834771,pre0_mod045_post0,tau_Zero_Flow_Days_sum
1,1250,18,mae,standard,0.11789523292749585,5,0.004811363035757992,pre0_mod046_post0,tau_Zero_Flow_Days_sum
1,1250,18,rmse,standard,0.15613094252192053,5,0.006331825923338957,pre0_mod046_post0,tau_Zero_Flow_Days_sum
1,1250,18,rsq,standard,0.13944692482615853,5,0.05355962538819001,pre0_mod046_post0,tau_Zero_Flow_Days_sum
