mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
10,250,25,mae,standard,42.94290722793848,5,0.7184738208433623,pre0_mod456_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,25,rmse,standard,66.45525577912791,5,1.3284994121762306,pre0_mod456_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,25,rsq,standard,0.605483497490435,5,0.020486397191156743,pre0_mod456_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,3,mae,standard,41.02085862386003,5,0.8168393267158338,pre0_mod457_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,3,rmse,standard,64.54233143545832,5,1.5360876544399076,pre0_mod457_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,3,rsq,standard,0.6252997275053341,5,0.018686891546743863,pre0_mod457_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,6,mae,standard,41.14499386066868,5,0.8653222283885735,pre0_mod458_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,6,rmse,standard,64.59665515769451,5,1.4534168395635312,pre0_mod458_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,6,rsq,standard,0.6246907254951226,5,0.017400154763162225,pre0_mod458_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,9,mae,standard,41.32601381160091,5,0.7769464182184195,pre0_mod459_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,9,rmse,standard,64.56639338386417,5,1.3890196419503067,pre0_mod459_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,9,rsq,standard,0.626321580019642,5,0.018119258739937284,pre0_mod459_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,12,mae,standard,41.682725559443924,5,0.8597568721379554,pre0_mod460_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,12,rmse,standard,65.16262952335984,5,1.42820774223247,pre0_mod460_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,12,rsq,standard,0.6197624707817776,5,0.018650359358186645,pre0_mod460_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,15,mae,standard,41.99720439655551,5,0.812847972548636,pre0_mod461_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,15,rmse,standard,65.44367287620234,5,1.4195895889143182,pre0_mod461_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,15,rsq,standard,0.6161268474894678,5,0.01904547711207269,pre0_mod461_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,18,mae,standard,42.34175201242868,5,0.6455730555538428,pre0_mod462_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,18,rmse,standard,65.97378932262745,5,1.262048675348631,pre0_mod462_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,18,rsq,standard,0.6100800384692446,5,0.01817287328066468,pre0_mod462_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,21,mae,standard,42.621489652652116,5,0.668097520665546,pre0_mod463_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,21,rmse,standard,66.17711397993266,5,1.2604524267499242,pre0_mod463_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,21,rsq,standard,0.6088886663738904,5,0.01948849038207984,pre0_mod463_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,25,mae,standard,43.055990479369584,5,0.6910832045014207,pre0_mod464_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,25,rmse,standard,66.69490293605841,5,1.2356670670380532,pre0_mod464_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,450,25,rsq,standard,0.6025131578999225,5,0.01959311052636025,pre0_mod464_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,3,mae,standard,41.19109574621643,5,0.8746370487683431,pre0_mod465_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,3,rmse,standard,64.81512580977244,5,1.561590894751507,pre0_mod465_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,3,rsq,standard,0.6223308998963403,5,0.018760209470412355,pre0_mod465_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,6,mae,standard,41.13672511193942,5,0.91922331324264,pre0_mod466_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,6,rmse,standard,64.55209767286173,5,1.5131585574616957,pre0_mod466_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,6,rsq,standard,0.6259140736052221,5,0.01928680696828187,pre0_mod466_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,9,mae,standard,41.431199407937115,5,0.8071435530017936,pre0_mod467_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,9,rmse,standard,64.84195833258511,5,1.3647863862147873,pre0_mod467_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,9,rsq,standard,0.6233030952296429,5,0.017930438464264186,pre0_mod467_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,12,mae,standard,41.68876126557366,5,0.7996303827169894,pre0_mod468_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,12,rmse,standard,65.09802479286886,5,1.3912459731933513,pre0_mod468_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,12,rsq,standard,0.6199929746165997,5,0.01854302983956834,pre0_mod468_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,15,mae,standard,41.83407066850872,5,0.789922721187999,pre0_mod469_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,15,rmse,standard,65.34557662199367,5,1.2604130002704468,pre0_mod469_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,15,rsq,standard,0.6173578280382692,5,0.017120210875468327,pre0_mod469_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,18,mae,standard,42.31471037804612,5,0.7357847420848002,pre0_mod470_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,18,rmse,standard,65.84868574725968,5,1.2868389985467121,pre0_mod470_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,18,rsq,standard,0.6121099894891329,5,0.01798118119453545,pre0_mod470_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,21,mae,standard,42.3960903403577,5,0.7154758996315073,pre0_mod471_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,21,rmse,standard,65.95249836228588,5,1.300844137640107,pre0_mod471_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,21,rsq,standard,0.6110279431924457,5,0.01964245422918098,pre0_mod471_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,25,mae,standard,43.08331742814691,5,0.6737335862061736,pre0_mod472_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,25,rmse,standard,66.59827106605616,5,1.3493644305422186,pre0_mod472_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,650,25,rsq,standard,0.6045055464540234,5,0.02007752821049893,pre0_mod472_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,850,3,mae,standard,41.05203829131403,5,0.7931200223891618,pre0_mod473_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,850,3,rmse,standard,64.60383410484813,5,1.5188205202303062,pre0_mod473_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,850,3,rsq,standard,0.6248280506205964,5,0.01883541442929384,pre0_mod473_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,850,6,mae,standard,41.34204810385197,5,0.8989811853945101,pre0_mod474_post0,Zero_Flow_Days_sum,Dry_sub_humid
