metric,region,n,OOBmse,OOBr2
Zero_Flow_Days_sum,Dry_sub_humid,18,4349.367259540672,0.603342177470092
Zero_Flow_Days_sum,Dry_sub_humid,20,4375.520795494674,0.6009570018792711
Zero_Flow_Days_sum,Dry_sub_humid,22,4362.726803320684,0.602123800812166
Zero_Flow_Days_sum,Dry_sub_humid,24,4294.042840832066,0.6083877075778453
Zero_Flow_Days_sum,Dry_sub_humid,26,4363.416016526026,0.6020609452764119
Zero_Flow_Days_sum,Dry_sub_humid,28,4378.796138011044,0.6006582940091245
Zero_Flow_Days_sum,Dry_sub_humid,30,4393.227842752181,0.5993421373738216
Zero_Flow_Days_sum,Dry_sub_humid,32,4358.385804308913,0.6025196954591026
Zero_Flow_Days_sum,Dry_sub_humid,34,4337.862674356516,0.6043913838111401
Zero_Flow_Days_sum,Dry_sub_humid,36,4333.230346030324,0.6048138473920394
Zero_Flow_Days_sum,Dry_sub_humid,38,4353.861701954355,0.6029322889426547
Zero_Flow_Days_sum,Dry_sub_humid,40,4286.145866556746,0.6091079035129556
Zero_Flow_Days_sum,Dry_sub_humid,42,4414.991499121417,0.5973573142879407
Zero_Flow_Days_sum,Dry_sub_humid,44,4349.923712370822,0.6032914295440659
Zero_Flow_Days_sum,Dry_sub_humid,46,4188.629423613744,0.6180013028536953
Zero_Flow_Days_sum,Dry_sub_humid,48,4138.244627541634,0.6225963444553757
Zero_Flow_Days_sum,Dry_sub_humid,50,4070.26785969354,0.6287957557968988
Zero_Flow_Days_sum,Semi_arid,10,6681.553866448913,0.5159991606302972
Zero_Flow_Days_sum,Semi_arid,12,6563.4225667643395,0.524556398863498
Zero_Flow_Days_sum,Semi_arid,14,6542.440235770805,0.5260763246196607
Zero_Flow_Days_sum,Semi_arid,16,6445.004724449504,0.5331343937764075
Zero_Flow_Days_sum,Semi_arid,18,6450.803784210566,0.5327143193673688
Zero_Flow_Days_sum,Semi_arid,20,6269.840716919821,0.545822988131299
Zero_Flow_Days_sum,Semi_arid,22,6054.543478186245,0.5614187681465266
Zero_Flow_Days_sum,Semi_arid,24,6078.800194641973,0.5596616512603068
Zero_Flow_Days_sum,Semi_arid,26,5973.401075328141,0.5672965911614699
Zero_Flow_Days_sum,Semi_arid,28,5995.435977503549,0.5657004188695902
Zero_Flow_Days_sum,Semi_arid,30,6021.8031912572205,0.5637904210092572
Zero_Flow_Days_sum,Semi_arid,32,5820.9538948186655,0.5783396157035059
Zero_Flow_Days_sum,Semi_arid,34,5916.892889109082,0.5713899517940348
Zero_Flow_Days_sum,Semi_arid,36,5878.287353838452,0.5741864736583766
Zero_Flow_Days_sum,Semi_arid,38,5879.589342488307,0.574092159729016
Zero_Flow_Days_sum,Semi_arid,40,5840.938795188306,0.5768919421911816
Zero_Flow_Days_sum,Semi_arid,42,5845.496944146545,0.576561757332112
Zero_Flow_Days_sum,Semi_arid,44,5817.4005299656765,0.578597015644569
Zero_Flow_Days_sum,Semi_arid,46,5858.332611550967,0.5756319625685307
Zero_Flow_Days_sum,Semi_arid,48,5910.164738767438,0.5718773280058937
Zero_Flow_Days_sum,Semi_arid,50,5905.801761964294,0.5721933749131074
hydro_doy,National,10,8315.715420749677,0.040027310915632386
hydro_doy,National,12,8110.673114461083,0.06369755504793784
hydro_doy,National,14,8116.700262743978,0.06300177633836301
hydro_doy,National,16,7924.675253953334,0.08516929347107238
hydro_doy,National,18,7860.678121998027,0.09255717241453976
hydro_doy,National,20,7811.597516856205,0.0982230758414796
hydro_doy,National,22,7685.9249814770155,0.11273081157170683
hydro_doy,National,24,7714.243257222133,0.10946172768152929
hydro_doy,National,26,7722.166372885763,0.10854707701532662
hydro_doy,National,28,7721.529335953596,0.10862061705678738
hydro_doy,National,30,7791.03487398255,0.10059684340991382
hydro_doy,National,32,7770.286810660681,0.10299201605984465
hydro_doy,National,34,7670.912333433706,0.11446388339814906
hydro_doy,National,36,7707.7315091520895,0.11021344896937446
hydro_doy,National,38,7674.352223362471,0.1140667798155961
hydro_doy,National,40,7636.961889653233,0.11838314916934478
hydro_doy,National,42,7620.7948423158305,0.12024948575276306
hydro_doy,National,44,7627.1360927666665,0.11951744684336785
hydro_doy,National,46,7601.027283691986,0.12253146817383231
hydro_doy,National,48,7597.201737879112,0.12297309217313801
hydro_doy,National,50,7634.493486913066,0.11866810351137391
hydro_doy,Humid,10,7854.7366073867015,0.06292229739612865
hydro_doy,Humid,12,7936.521842322618,0.05316523947153906
hydro_doy,Humid,14,7444.640440077403,0.11184716827562546
hydro_doy,Humid,16,7500.544442146126,0.10517776655747535
hydro_doy,Humid,18,7472.037040806431,0.10857872721215678
hydro_doy,Humid,20,7540.603196688744,0.100398718251684
hydro_doy,Humid,22,7575.872128452592,0.09619110045333812
